clean_label,uid_in_source,dhis2_object_type,matched_query_type,matched_uid,base_name,category_combo_id,category_combo_name,category_option_combo_id,category_option_combo_name
ANC 1st Visit GA < 20wks,p6aVCk9aN6S,dataElement,operand_linked,p6aVCk9aN6S.zbr2vnRNwAW,ANC 1st Visit ,yzv8MJxvTsE,NH19_Antenatal Gestation_visit ,zbr2vnRNwAW,GA < 20wks
ANC 1st Visit GA >= 20wks,p6aVCk9aN6S,dataElement,operand_linked,p6aVCk9aN6S.YW7OzKBM90D,ANC 1st Visit ,yzv8MJxvTsE,NH19_Antenatal Gestation_visit ,YW7OzKBM90D,GA ≥ 20wks
ANC 4th visit,ZS5cAlmGjIE,dataElement,operand_linked,ZS5cAlmGjIE,ANC 4th visit,o9o4xFd6KEm,default,Y2SrnZVI87k,default
ANC 8th Visit,bGXqql9dyk4,dataElement,operand_linked,bGXqql9dyk4,ANC 8th Visit,o9o4xFd6KEm,default,Y2SrnZVI87k,default
ANC Attendance 10 - 14yrs,SCDCoP6l9vz,dataElement,operand_linked,SCDCoP6l9vz.VqzZ1Rld9H1,ANC Attendance,eCPII23gfYb,Antenatal attendance by pregnant women ,VqzZ1Rld9H1,10 - 14yrs
ANC Attendance 15 - 19yrs,SCDCoP6l9vz,dataElement,operand_linked,SCDCoP6l9vz.uYiYP24ADBW,ANC Attendance,eCPII23gfYb,Antenatal attendance by pregnant women ,uYiYP24ADBW, 15 - 19yrs
ANC Attendance 20 - 34yrs,SCDCoP6l9vz,dataElement,operand_linked,SCDCoP6l9vz.lrTK1Rlll6i,ANC Attendance,eCPII23gfYb,Antenatal attendance by pregnant women ,lrTK1Rlll6i,20 - 34yrs
ANC Attendance 35 - 49yrs,SCDCoP6l9vz,dataElement,operand_linked,SCDCoP6l9vz.qpL8m6XwJAP,ANC Attendance,eCPII23gfYb,Antenatal attendance by pregnant women ,qpL8m6XwJAP,35 - 49yrs
ANC Attendance >= 50yrs,SCDCoP6l9vz,dataElement,operand_linked,SCDCoP6l9vz.vRzD2lbRQOg,ANC Attendance,eCPII23gfYb,Antenatal attendance by pregnant women ,vRzD2lbRQOg,≥ 50yrs
Children <5 yrs who received LLIN,ZFgiCO6nyAP,dataElement,operand_linked,ZFgiCO6nyAP,Children <5 yrs who received LLIN ,o9o4xFd6KEm,default,Y2SrnZVI87k,default
General Attendance Female 0-28d,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.EeOmMSob3uj,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",EeOmMSob3uj,"Female, 0-28d"
General Attendance Female 29d - 11m,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.CyyxhwJfSMe,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",CyyxhwJfSMe,"Female, 29d - 11m"
General Attendance Female 12-59m,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.R2LOEyK3TtS,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",R2LOEyK3TtS,"Female, 12-59m"
General Attendance Female 5-9yrs,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.HAKkodr9Zu6,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",HAKkodr9Zu6,"Female, 5-9yrs"
General Attendance Female 10-19 yrs,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.JDTkdy8801g,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",JDTkdy8801g,"Female, 10-19 yrs"
General Attendance Female 20yrs+,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.zi9zkiK4o6p,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",zi9zkiK4o6p,"Female, 20yrs+"
General Attendance Male 0-28d,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.IqPaOHcba7Z,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",IqPaOHcba7Z,"Male, 0-28d"
General Attendance Male 29d - 11m,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.t07sIn0ECwE,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",t07sIn0ECwE,"Male, 29d - 11m"
General Attendance Male 12-59m,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.PCcBygZah1M,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",PCcBygZah1M,"Male, 12-59m"
General Attendance Male 5-9yrs,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.GnxpqojQRk0,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",GnxpqojQRk0,"Male, 5-9yrs"
General Attendance Male 10-19 yrs,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.YWaq4exqjpt,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",YWaq4exqjpt,"Male, 10-19 yrs"
General Attendance Male 20yrs+,Jc1WjNKrObY,dataElement,operand_linked,Jc1WjNKrObY.Fftxx8lnql6,General Attendance,GorBAxlnuXI,"Age(Attendance,Admissions, Deaths) vs Gender",Fftxx8lnql6,"Male, 20yrs+"
IPT1p,pUZ0BKgsAXp,dataElement,operand_linked,pUZ0BKgsAXp,IPT1p,o9o4xFd6KEm,default,Y2SrnZVI87k,default
IPT2p,fP1E4qRJ57a,dataElement,operand_linked,fP1E4qRJ57a,IPT2p,o9o4xFd6KEm,default,Y2SrnZVI87k,default
IPT3p,HGIz6q1NXIS,dataElement,operand_linked,HGIz6q1NXIS,IPT3p,o9o4xFd6KEm,default,Y2SrnZVI87k,default
IPT>=4,oNUnkTiGK75,dataElement,operand_linked,oNUnkTiGK75,IPT>=4,o9o4xFd6KEm,default,Y2SrnZVI87k,default
